Fire_Year,Total_Acres_Burned,Avg_Smoke_Impact
1977,41560.833789783894,47.288937442163274
1968,7398.26833680327,33.509736317086116
1971,51564.77407963097,36.08058703010242
1980,71359.89411206066,34.30651914637544
1974,33889.95624309945,32.672931400829405
1992,282028.10971607006,86.02233237536576
1995,296761.17677952355,56.142259080545905
1983,62866.03056003401,41.280376690309545
1989,828387.4042478628,89.70198764297409
1998,812347.9601057658,105.44404809782442
1986,280561.3892874568,77.30561944906304
2013,1022824.7202395954,70.52986952047877
2001,840323.9733381347,104.32832745306972
2007,2018067.6503904168,89.50379513529127
2004,416894.99696226005,86.66684896950831
2010,1102529.1520804982,73.11578632919212
2019,1347007.0287026234,86.28497431998382
2016,1738226.718518976,64.76459227385305
1963,13319.516701973222,33.50972581412804
1966,33567.45517563721,78.48930183448451
1978,19229.94704514411,22.4124702226396
1975,13369.347451155458,33.540174053457534
1969,2755.5824169759544,10.636468210316266
1972,30914.701528673253,37.76594217718965
1981,235837.9313100372,70.8418579251564
1987,222321.94098684945,56.406096510762005
1990,309873.7770507288,81.38879488943277
1993,402622.904696448,108.60560876037975
1984,255093.728721716,61.71364432713011
1996,1222266.5590696356,122.39947560425692
1999,847121.1508810845,80.8444762487508
2008,1518800.755308327,89.25800051559007
2011,3851283.6931230635,91.42203342142588
2002,1405102.851632452,111.52041004184795
2005,637501.8815221026,86.6176903326371
2014,742767.8190142179,60.25810359047044
2020,2381621.4777578074,78.53303844777055
2017,2603905.430506191,82.3188574346495
1964,51500.85107511332,131.20532550763176
1961,73136.13112194318,112.42850309149959
1973,9872.74656199904,16.735344820843316
1979,75256.8393849848,33.83490591965115
1976,44991.85659007695,41.80270315270614
1982,51365.48657348118,34.45510480011065
1970,25432.93222937826,28.631595978788216
1967,31673.61757965572,84.80059860565953
1985,411575.1460021966,101.50424588331937
1994,793060.7255363266,106.92958685520142
1991,767973.2006457084,140.20439683963875
1997,158604.61083423943,83.58939501234929
1988,2467048.6161096953,98.54789637527317
2012,3819379.4283185904,105.72227072022602
2000,2670903.8766556787,116.67254191271043
2006,2402893.026747487,104.61946699892849
2009,1555488.9414891333,102.28653141306985
2015,1056899.2176855707,64.16441229309959
2003,1429838.0081299827,98.23173168974061
2018,2179988.4728885083,80.28261124703289
1962,42655.502727817955,148.65521178756362
1965,19688.195509774494,112.3681092346264
